culture,snippet,type,translation,status_signal,notes
Kink/BDSM,Sub / submissive,vocabulary,The partner who yields power in power-exchange,Foundational role vocabulary,Major in-group category
Kink/BDSM,Switch,vocabulary,Person who takes both Dom and sub roles,Specific role-flexibility category,Standard in-group term
Kink/BDSM,Master / Mistress,vocabulary,Specific dominant role title in Master/slave dynamics — more total than Dom/sub,Specific deeper-power-exchange category,Foundational vocabulary
Kink/BDSM,Slave / s-type,vocabulary,Specific submissive role title in Master/slave dynamics,Specific deeper-power-exchange category,Foundational vocabulary
Kink/BDSM,Daddy / Daddy Dom,vocabulary,Specific dominant role with caregiver dynamic,Specific Dom-flavor — distinct from incest framing,Common dynamic
Kink/BDSM,Little / babygirl,vocabulary,Submissive partner in DD/lg dynamic — age-regression-adjacent,Specific community-flavor,Common dynamic
Kink/BDSM,DD/lg / Daddy Dom Little Girl,vocabulary,Specific power-exchange dynamic involving caregiver/regressive roles,Specific community subset,Major sub-camp category
Kink/BDSM,MD/lb / Mommy Domme Little Boy,vocabulary,Female-Dom version of DD/lg dynamic,Specific community subset,Specific sub-camp
Kink/BDSM,Pet / pet play,vocabulary,Specific dynamic involving animal-roleplay submission,Specific community subset,Specific kink category
Kink/BDSM,Owner,vocabulary,Specific dominant title in M/s or pet-play dynamics,Specific role vocabulary,Standard in-group term
Kink/BDSM,Pup / puppy / kitten,vocabulary,Specific submissive identity in pet-play,Specific community subset,Specific kink category
Kink/BDSM,Service sub / service-oriented submissive,vocabulary,Submissive whose dynamic is built around serving partner's daily needs,Specific submissive flavor,Standard in-group category
Kink/BDSM,Bratty sub / brat,vocabulary,Submissive who playfully resists Dom — specific dynamic,Specific submissive flavor,Standard in-group category
Kink/BDSM,Funishment,vocabulary,Playful 'punishment' in bratty dynamics — not real discipline,Specific in-group term,Standard vocabulary
Kink/BDSM,SSC / Safe Sane Consensual,vocabulary,Foundational community ethics framework — older standard,Foundational community ethics,Major framework
Kink/BDSM,RACK / Risk-Aware Consensual Kink,vocabulary,Foundational community ethics framework — current preferred standard,Foundational community ethics — RACK acknowledges some kink isn't 'safe' but should be informed,Major framework
Kink/BDSM,PRICK / Personal Responsibility Informed Consensual Kink,vocabulary,Newer community ethics framework emphasizing personal responsibility,Specific newer ethics framework,Specific framework
Kink/BDSM,Consent,vocabulary,Foundational concept — informed willing agreement to specific acts,Foundational community ethics,Major foundation
Kink/BDSM,Informed consent,phrase,Specific concept requiring knowledge of risks before agreement,Foundational community ethics,Major foundation
Kink/BDSM,Enthusiastic consent,phrase,Standard requiring active willing participation not just non-refusal,Foundational community ethics,Major foundation
Kink/BDSM,Negotiation,vocabulary,Pre-scene discussion of what will happen — required ethical practice,Foundational community practice,Major foundation
Kink/BDSM,Pre-scene negotiation,phrase,Specifically the conversation before play to establish what will happen and limits,Foundational community practice,Major required practice
Kink/BDSM,Hard limits,vocabulary,Activities that are absolutely off-limits regardless of context,Foundational community concept,Major safety practice
Kink/BDSM,Soft limits,vocabulary,Activities the person is hesitant about but may try in right context,Foundational community concept,Major practice
Kink/BDSM,Yes/no/maybe list,vocabulary,Negotiation tool listing specific activities and willingness,Standard negotiation tool,Specific practice
Kink/BDSM,Checklist,vocabulary,Standardized list of activities for negotiation,Standard negotiation tool,Specific practice
Kink/BDSM,Safeword,vocabulary,Pre-agreed word that immediately stops play,Foundational safety mechanism,Major required practice
Kink/BDSM,Red / yellow,vocabulary,Standard safewords — red stops everything yellow signals to slow or check in,Specific standard safeword system,Major foundation
Kink/BDSM,Traffic light system,vocabulary,The red/yellow/green safeword framework,Standard safeword framework,Major practice
Kink/BDSM,Non-verbal safeword,vocabulary,Signal (drop object squeeze hand) when verbal speech is restricted in scene,Standard safety practice for restricted scenes,Specific safety practice
Kink/BDSM,Aftercare,vocabulary,Post-scene attention to physical and emotional needs,Foundational community practice,Major required practice
Kink/BDSM,Drop / sub drop / top drop,vocabulary,Post-scene emotional/physical crash after intense play,Foundational community concept,Major safety category
Kink/BDSM,Subspace,vocabulary,Altered state submissive can enter during intense play,Standard community concept,Specific in-group category
Kink/BDSM,Topspace / domspace,vocabulary,Altered state top can enter during intense play,Standard community concept,Specific in-group category
Kink/BDSM,Scene,vocabulary,Specific session of BDSM activity,Foundational vocabulary,Major in-group term
Kink/BDSM,Play,vocabulary,BDSM activity as gerund — 'we played last night',Standard in-group verb usage,Specific verbal pattern
Kink/BDSM,Play partner,vocabulary,Someone you do scenes with — may or may not be romantic partner,Specific community-relationship category,Standard in-group term
Kink/BDSM,Bondage,vocabulary,Physical restraint as practice,Standard practice category,Major category
Kink/BDSM,Shibari / kinbaku,vocabulary,Japanese-derived rope bondage with aesthetic component,Specific practice with specific community,Major sub-camp
Kink/BDSM,Rope bunny,vocabulary,Bottom in rope bondage scenes,Specific role vocabulary,Standard in-group term
Kink/BDSM,Rigger,vocabulary,Top who does rope bondage,Specific role vocabulary,Standard in-group term
Kink/BDSM,Impact play,vocabulary,Practices involving hitting — spanking flogging caning,Standard practice category,Major category
Kink/BDSM,Spanking / paddling / caning / flogging,vocabulary,Specific impact practices in increasing intensity,Standard practice categories,Specific practices
Kink/BDSM,Sensation play,vocabulary,Practices involving sensory experience — ice wax electricity,Standard practice category,Major category
Kink/BDSM,Wax play,vocabulary,Specific sensation play using hot wax,Specific practice,Standard practice
Kink/BDSM,E-stim / electroplay,vocabulary,Specific play using electrical stimulation,Specific practice with safety considerations,Standard practice
Kink/BDSM,Knife play,vocabulary,Specific edge-play category,Specific edge-play practice,Major edge-play category
Kink/BDSM,Breath play,vocabulary,Specific edge-play involving breath restriction — high-risk category,Major edge-play category — particularly high-risk,Major edge-play category
Kink/BDSM,Edge play,vocabulary,Activities involving significant physical or psychological risk,Foundational risk-category vocabulary,Major in-group category
Kink/BDSM,CNC / consensual non-consent,vocabulary,Roleplay simulating non-consent within pre-negotiated framework,Specific advanced-practice category,Major edge-play category
Kink/BDSM,Rape play / ravishment,vocabulary,Roleplay simulating sexual assault within consent,Specific CNC sub-camp,Major edge-play category
Kink/BDSM,Humiliation play,vocabulary,Practices involving verbal degradation within consent,Standard practice category,Specific category
Kink/BDSM,Degradation,vocabulary,Specific humiliation-play category,Specific practice,Standard category
Kink/BDSM,Praise kink,vocabulary,Specific dynamic where submissive responds to verbal praise,Specific sub-camp,Standard category
Kink/BDSM,Orgasm control / orgasm denial / edging,vocabulary,Specific practice categories,Standard practices,Specific categories
Kink/BDSM,Chastity,vocabulary,Specific practice involving genital restraint,Specific practice category,Standard category
Kink/BDSM,Tease and denial,vocabulary,Specific practice category,Standard practice,Specific category
Kink/BDSM,Service,vocabulary,Submissive offering domestic or sexual service to dominant,Specific dynamic vocabulary,Standard in-group term
Kink/BDSM,Protocol,vocabulary,Specific behavioral rules within D/s dynamic,Standard relationship-structure vocabulary,Specific in-group term
Kink/BDSM,High protocol,vocabulary,Strict formal protocol in D/s relationship — formal address specific posture etc,Specific dynamic level,Standard category
Kink/BDSM,Low protocol,vocabulary,Casual D/s relationship without strict formal rules,Specific dynamic level,Standard category
Kink/BDSM,24/7,vocabulary,D/s dynamic that operates continuously rather than scene-only,Specific relationship-structure category,Major in-group category
Kink/BDSM,TPE / Total Power Exchange,vocabulary,Specific intense form of M/s relationship,Specific deeper-dynamic category,Specific in-group category
Kink/BDSM,Lifestyle dynamic,phrase,D/s relationship outside of scenes only,Standard relationship-structure category,Common phrasing
Kink/BDSM,Bedroom-only,phrase,Power exchange confined to specific sexual contexts,Standard category,Specific in-group framing
Kink/BDSM,Collar,vocabulary,Physical marker of D/s commitment — analogous to wedding ring,Major in-group symbol,Foundational relationship marker
Kink/BDSM,Day collar,vocabulary,Subtle collar wearable in vanilla contexts,Specific in-group object,Standard category
Kink/BDSM,Public collar / formal collar,vocabulary,Specific community-recognized D/s commitment marker,Major in-group symbol,Standard category
Kink/BDSM,Collaring ceremony,vocabulary,Formal community ritual marking D/s commitment,Major in-group ritual,Standard practice
Kink/BDSM,Cuffs,vocabulary,Wrist restraints sometimes worn as relationship marker,Specific in-group object,Standard category
Kink/BDSM,Munch,lifestyle marker,Non-play social gathering of kink community — usually at restaurant,Standard community gathering type,Major community marker
Kink/BDSM,Play party,lifestyle marker,Community event where scenes happen,Standard community event type,Major community marker
Kink/BDSM,Dungeon,vocabulary,Specific space designed for BDSM play — public or private,Standard community-space vocabulary,Major in-group term
Kink/BDSM,Public dungeon,lifestyle marker,Specific commercial or community space for play,Standard community infrastructure,Specific category
Kink/BDSM,Private dungeon,lifestyle marker,Personal space for play in someone's home,Standard community infrastructure,Specific category
Kink/BDSM,Dungeon monitor / DM,vocabulary,Designated safety person at play parties,Standard community-safety role,Major safety infrastructure
Kink/BDSM,Workshop / class,lifestyle marker,Specific community-education event,Standard community-education infrastructure,Specific category
Kink/BDSM,Leather community,phrase,Specific older subculture within BDSM — particularly gay-male-originated,Specific community signal,Major sub-camp
Kink/BDSM,Old guard / leather old guard,vocabulary,Traditional leather-community structure and protocols,Specific community tradition signal,Major in-group concept
Kink/BDSM,Leather family,vocabulary,Chosen-family structure in leather community,Specific community-relationship category,Standard in-group structure
Kink/BDSM,Vanilla,vocabulary,Person or practice outside kink — sometimes neutral sometimes mildly pejorative,Standard out-group category,Specific in-group/out-group vocabulary
Kink/BDSM,I'm just naturally dominant,phrase,Self-positioning as Dom without community ethics or training — particularly the kind of self-description used by men who skip negotiation,Watch carefully — legitimate Doms typically describe their work not their natural state; this framing often substitutes innate dominance for negotiated practice,Common warning pattern
Kink/BDSM,I'm an alpha male / I'm just an alpha,phrase,Self-positioning that mixes red-pill vocabulary with kink — usually indicates lack of community engagement,Heavy red-pill crossover; signals kink vocabulary without community ethics,Major warning pattern
Kink/BDSM,If you really trust me you wouldn't need a safeword,phrase,Trust framing used to manipulate her out of safety practice,Heavy warning — directly weaponizes intimacy against safety,Major red flag
Kink/BDSM,If you really submit you wouldn't have hard limits,phrase,Submission framing used to manipulate her out of limits,Heavy warning — limits are foundational and non-negotiable in legitimate practice,Major red flag
Kink/BDSM,A real sub doesn't say no to her Dom,phrase,Rules-framing used to override her actual preferences,Heavy warning — contradicts foundational community ethics,Major red flag
Kink/BDSM,I'll know your limits better than you do,phrase,Claiming superior knowledge of her preferences,Heavy warning — appropriates her self-knowledge,Major red flag
Kink/BDSM,I'll teach you to want what I want,phrase,Framing of her preferences as malleable to his preferences,Heavy warning — preference-modification framing,Major red flag
Kink/BDSM,Your soft limits are just things you haven't tried yet,phrase,Soft limits framed as obstacles to overcome rather than her stated preferences,Heavy warning — community ethics treat soft limits as her domain not his project,Major red flag
Kink/BDSM,All that negotiation kills the mystery,phrase,Rejection of pre-scene negotiation framework,Heavy warning — negotiation is foundational practice,Major red flag
Kink/BDSM,Negotiation is a vanilla concept,phrase,Direct claim that ethical foundation is for outsiders,Heavy warning — actually negotiation is community-required practice,Major red flag
Kink/BDSM,I don't really do aftercare,phrase,Refusing standard post-scene care,Warning — aftercare is foundational practice in legitimate community,Major red flag
Kink/BDSM,That's just sub-frenzy / you're just in subspace,phrase,Her objections or concerns dismissed as altered state rather than valid,Heavy warning — uses community vocabulary to dismiss her,Major red flag
Kink/BDSM,If you want to play with me you'll need to drop those limits,phrase,Conditional-access framing pressuring her to remove safety,Heavy warning — pressure-on-limits is community-acknowledged warning sign,Major red flag
Kink/BDSM,You're being a pillow princess / vanilla bottom,phrase,Shaming her for wanting safety or wanting less intensity,Standard shame-based pressure pattern,Common warning pattern
Kink/BDSM,Real subs trust their Doms completely,phrase,Trust framed as unconditional rather than earned,Heavy warning — community ethics build trust through ethical practice not demand it as precondition,Major red flag
Kink/BDSM,Real Doms / true Doms / experienced Doms,phrase,Authority-citation framing that pretends to invoke community consensus,Warning pattern — actually 'real Doms' in legitimate community follow more not fewer protocols,Common manipulation pattern
Kink/BDSM,I've been doing this for years — trust me,phrase,Experience-claim used to override her preferences or safety practices,Warning — experience should mean more ethical not less; watch the deployment,Common warning pattern
Kink/BDSM,You're new to this so you don't understand,phrase,Inexperience used to override her stated preferences,Warning — newer practitioners deserve more protection not less,Common manipulation pattern
Kink/BDSM,Your hard limits are weak — real subs push through,phrase,Direct attack on foundational concept,Heavy warning — hard limits are non-negotiable in legitimate practice,Major red flag
Kink/BDSM,I trained my last sub to do that,phrase,Authority-claim through prior partner used to pressure her,Warning — comparison to prior partners as pressure tool,Common warning pattern
Kink/BDSM,If you really love me you'll be 24/7,phrase,Love framing used to pressure expanded dynamic,Heavy warning — community ethics treat 24/7 as serious commitment requiring careful entry,Major red flag
Kink/BDSM,We should move to TPE / Total Power Exchange,phrase,Sometimes legitimate progression — sometimes pressure to give up more agency,Watch context — TPE is major commitment requiring careful negotiation,Mixed signal
Kink/BDSM,I want you to ask permission for everything,phrase,High-protocol move that can be legitimate D/s or escalation of control,Watch context — legitimate when negotiated; warning when imposed,Mixed signal
Kink/BDSM,Decisions are for Doms,phrase,Framing that removes her decision-making in life areas,Warning — legitimate D/s preserves her agency in non-negotiated domains,Major warning pattern
Kink/BDSM,I need to approve who you see / where you go,phrase,Isolation framing dressed as protocol,Heavy warning — isolation is abuse-pattern not D/s practice,Major red flag
Kink/BDSM,Subs don't have friends outside the dynamic,phrase,Direct isolation framing,Heavy warning — isolation is abuse-pattern not legitimate D/s,Major red flag
Kink/BDSM,My last sub wasn't really ready for what I bring,phrase about ex,Ex framed as inadequate for his dynamic — sets up exception-from-bad-category for her,Standard ex-as-failure framing,Common pattern
Kink/BDSM,She wasn't really a true sub,phrase about ex,Ex framed as inauthentic in role,Standard ex-dismissal framing,Common pattern
Kink/BDSM,She couldn't handle me,phrase about ex,Ex framed as failing to meet his intensity,Self-positioning above ex framing,Common pattern
Kink/BDSM,She safeworded too much,phrase about ex,Ex's use of safety practice framed as deficiency,Heavy warning — community ethics treat safeword use as feature not bug,Major red flag
Kink/BDSM,She always wanted aftercare,phrase about ex,Ex's request for standard practice framed as needy,Warning — aftercare is foundational community practice,Common warning pattern
Kink/BDSM,What are your hard and soft limits?,phrase,Standard ethical-negotiation question,Foundational community practice — positive marker,Standard good-faith practice
Kink/BDSM,Let's negotiate the scene first,phrase,Standard pre-scene practice,Foundational practice — positive marker,Standard good-faith practice
Kink/BDSM,What's your safeword?,phrase,Standard establishment of safety practice,Foundational practice — positive marker,Standard good-faith practice
Kink/BDSM,How do you want aftercare to go?,phrase,Standard pre-scene aftercare planning,Foundational practice — positive marker,Standard good-faith practice
Kink/BDSM,I want to check in,phrase,Standard during-scene safety practice,Foundational practice — positive marker,Standard good-faith practice
Kink/BDSM,Let's do a debrief,phrase,Post-scene processing conversation,Standard good-faith practice,Common practice
Kink/BDSM,What did you like and not like?,phrase,Post-scene feedback practice,Standard good-faith practice,Common practice
Kink/BDSM,I want to make sure you're okay,phrase,Standard post-scene check-in,Standard good-faith practice,Common practice
Kink/BDSM,Have you done much in the lifestyle?,question,Standard experience-level probe,Standard probe,Common question
Kink/BDSM,Who have you played with?,question,Asking about prior play partners — can be reference-check or surveillance,Mixed signal — legitimate in some community contexts,Common question
Kink/BDSM,Have you been to [event/dungeon/munch]?,question,Specific community-engagement probe,Standard community-engagement probe,Common question
Kink/BDSM,Do you have references in the community?,question,Asking for vouches from other community members — legitimate safety practice,Standard ethical-community practice,Common safety practice
Kink/BDSM,Consent gaming,vocabulary,Community term for manipulating consent through pressure or coercion,Community-acknowledged manipulation pattern,Specific warning category
Kink/BDSM,Whisper network,phrase,Informal community channels for warning about unsafe practitioners,Standard community safety infrastructure,Foundational practice
Kink/BDSM,She's on the whisper network for him,phrase,Community has warnings about specific person,Standard community safety,Common framing
Kink/BDSM,Banned from [dungeon/event],phrase,Community has formally excluded him for safety violations,Major community-safety signal,Standard exclusion framing
Kink/BDSM,Black-listed,phrase,Community has informally banned him,Standard community safety,Common framing
MAGA,Where do you stand?,question,Direct political-position probe usually after he's signaled his,Direct probe,Common phrasing
MAGA,Do you love this country?,question,Loyalty-framing probe — implies dissent is disloyalty,Standard MAGA loyalty framing,Common phrasing
MAGA,DEI,vocabulary,Diversity Equity and Inclusion — pejorative in movement contexts,Standard pejorative usage,Common framing
MAGA,DEI hire,phrase,Pejorative claim that person was hired for race/gender not merit,Direct racial-and-gender dismissal framing,Common pejorative usage
MAGA,Anti-DEI,phrase,Self-positioning as opposing diversity initiatives,Standard self-positioning,Common framing
MAGA,Meritocracy,phrase,Framing of merit-only-hiring as opposing DEI,Standard movement framing,Common positioning
MAGA,Critical Race Theory / CRT,phrase,Academic framework framed as taught in schools and corporate trainings,Standard movement target,Specific cultural-war target
MAGA,They're teaching CRT in schools,phrase,Specific schools-related concern framing,Standard movement framing,Common framing
MAGA,ESG,vocabulary,Environmental Social Governance — corporate framework framed as woke,Standard movement target,Specific cultural-war target
MAGA,Anti-ESG,phrase,Self-positioning against corporate sustainability frameworks,Standard self-positioning,Specific positioning
MAGA,Traditional values,phrase,Coded framing of conservative gender and family expectations,Standard movement framing,Major framing
MAGA,Traditional family,phrase,Specifically heterosexual married-with-children family,Standard movement framing,Standard framing
MAGA,Nuclear family,phrase,Specific family-structure framing,Standard movement framing,Common framing
MAGA,Family values,phrase,Coded gender-and-family conservative framing,Standard movement framing,Major framing
MAGA,Protect women and children,phrase,Specific framing used in anti-trans contexts,Standard culture-war framing,Common framing
MAGA,Parents' rights,phrase,Movement framing of education and parental authority,Standard movement framing,Common framing
MAGA,Parental rights,phrase,Same — coded education-policy framing,Standard movement framing,Common framing
MAGA,Catch and release,phrase,Movement framing of immigration processing,Standard movement framing,Common framing
MAGA,Sanctuary cities,phrase,Pejorative framing of cities with immigration-protection policies,Standard movement framing,Common framing
MAGA,The military industrial complex,phrase,Crossover with conspiracy and populist-left vocabulary,Standard populist framing,Cross-camp framing
MAGA,Forever wars,phrase,Anti-interventionist movement framing,Standard populist framing,Common framing
MAGA,America Last,phrase,Pejorative framing of opposition policies as anti-American,Standard movement framing,Common framing
MAGA,Failed elites,phrase,Specific elite-criticism framing,Standard movement framing,Common framing
MAGA,Career politicians,phrase,Anti-establishment framing,Standard movement framing,Common framing
MAGA,Term limits,phrase,Movement-aligned policy position,Standard movement position,Common framing
MAGA,American flag (specific contexts),status signal,American flag deployed in movement-coded ways — particularly large flags on trucks,Mixed signal — depends on deployment,Specific aesthetic deployment
MAGA,Truck / specific big truck,status signal,Specific truck culture often movement-aligned — F-150 Silverado Ram large trucks,Mixed signal — truck culture broader than MAGA,Common aesthetic
MAGA,Concealed carry / I carry,lifestyle marker,Self-identification as armed citizen,Standard movement identification,Common identification
MAGA,Common sense,phrase,Movement framing of their positions as obviously correct,Standard movement framing,Common framing
MAGA,Real Americans,phrase,Specific category implying MAGA voters as authentic Americans,Direct in-group/out-group framing,Standard framing
MAGA,The silent majority,phrase,Specific framing of MAGA voters as suppressed majority,Standard movement framing,Common framing
MAGA,Working-class Americans,phrase,Specific class-framing of movement,Standard movement framing,Common framing
MAGA,Forgotten Americans,phrase,Trump-coalition framing of his voters,Standard movement framing,Common framing
MAGA,Flyover country,phrase,Self-identification as middle America ignored by coastal elites,Standard movement framing,Common framing
MAGA,Coastal elites,phrase,Pejorative for political-cultural class on East and West coasts,Standard movement framing,Common framing
MAGA,Real America,phrase,Coded reference to middle-America heartland,Standard movement framing,Common framing
MAGA,Heartland,phrase,Specific geography-framing of authentic America,Standard movement framing,Common framing
MAGA,Bleeding hearts,phrase,Pejorative for liberal compassion politics,Standard movement framing,Common framing
MAGA,I'm done,phrase,Standard movement framing of having reached limit with mainstream culture,Standard movement framing,Common phrasing
MAGA,I'm fed up,phrase,Standard exasperation framing,Standard movement framing,Common phrasing
MAGA,Enough is enough,phrase,Standard movement framing,Standard movement framing,Common phrasing
MAGA,We're not going to take it anymore,phrase,Standard resistance framing,Standard movement framing,Common phrasing
MAGA,We need to take our country back,phrase,Direct movement reclamation framing,Standard movement framing,Major framing
MAGA,Take America back,phrase,Same as above,Standard movement framing,Major framing
MAGA,This isn't the country I grew up in,phrase,Decline-narrative framing,Standard movement framing,Common framing
MAGA,I don't recognize this country anymore,phrase,Same decline-narrative framing,Standard movement framing,Common framing
MAGA,I won't date a liberal,phrase,Direct politics-based dating filter,Direct partisan filter,Common direct statement
MAGA,I won't date a Democrat,phrase,Same partisan filter,Direct partisan filter,Common direct statement
MAGA,She's gone woke,phrase about a woman,Female partner or ex described as having adopted progressive politics,Standard cultural-decline framing applied to partner,Common usage — dismissal of female partner
MAGA,She drank the Kool-Aid,phrase about a woman,Same dismissal framing,Standard dismissal framing,Common usage
MAGA,My ex was a feminist,phrase about ex,Ex described as feminist used as warning about her,Standard dismissive framing of feminism,Reveals worldview
MAGA,She turned into a feminist,phrase about ex,Ex framed as having become feminist — implies political alignment was problem,Standard dismissal framing,Common usage
MAGA,What do you think about Trump?,question,Direct political-alignment probe,Direct probe,Common dating question
MAGA,What do you think about Biden?,question,Same — partisan probe,Direct probe,Common dating question
MAGA,Do you think the country's going in the right direction?,question,Standard political alignment probe,Direct probe,Common question
MAGA,How do you feel about how things are going?,question,Coded political probe,Standard probe,Common framing
MAGA,I won't be with someone who doesn't share my values,phrase,Values-framing used to demand political alignment,Standard demand framing,Common framing
MAGA,You'll see — you'll come around,phrase,Pressure framing implying her current views are temporary,Standard conversion-pressure framing,Common framing
MAGA,Don't let CNN brainwash you,phrase,Pressure framing telling her to reject her information sources,Standard information-control framing,Common framing
MAGA,Stop watching mainstream media,phrase,Direct attempt to restrict her information sources,Standard information-control framing,Common framing
MAGA,Your professors lied to you,phrase,Direct attempt to delegitimize her education,Standard education-delegitimization framing,Common framing
MAGA,College made you a liberal,phrase,Education framed as ideological capture,Standard framing,Common phrasing
MAGA,You've been indoctrinated,phrase,Direct claim her views are programmed rather than her own,Standard mind-control framing,Common framing
MAGA,You don't really believe that,phrase,Direct denial of her stated views,Standard view-denial framing,Common pattern
MAGA,Women are too emotional about politics,phrase,Direct gendered dismissal of her political concerns,Heavy gendered dismissal,Major warning pattern
MAGA,Don't let your emotions cloud your judgment,phrase,Pre-emptive dismissal of any emotional response,Standard emotion-dismissal framing,Common pattern
MAGA,I'm just being logical,phrase,Self-positioning as rational against her supposed emotion,Standard self-positioning framing,Common pattern
MAGA,Real feminists were the originals,phrase,Distinguishing approved historical feminism from current,Standard movement framing,Common framing
MAGA,Title IX has gone too far,phrase,Direct anti-feminist policy framing,Standard movement framing,Common framing
MAGA,The Bud Light boycott,phrase,Specific 2023 culture-war reference,Direct culture-war reference,Specific event reference
MAGA,Go woke go broke,phrase,Boycott-framing slogan,Standard movement framing,Common framing
MAGA,Target boycott,phrase,Specific 2023 culture-war reference,Direct culture-war reference,Specific event reference
MAGA,Disney has gone woke,phrase,Specific Disney-as-cultural-target framing,Standard movement framing,Common framing
MAGA,The NFL got political,phrase,Sports-politicization complaint framing,Standard movement framing,Common framing
MAGA,We need law and order,phrase,Trump-coalition framing of crime policy,Standard movement framing,Common framing
MAGA,Soft on crime,phrase,Pejorative for criminal-justice-reform politicians,Standard movement framing,Common framing
MAGA,Crime is out of control,phrase,Standard movement framing of urban crime,Standard movement framing,Common framing
MAGA,Cities have become hellholes,phrase,Direct urban-decline framing,Standard movement framing,Common framing
MAGA,I built this myself,phrase,Self-reliance movement framing,Standard movement framing,Common framing
MAGA,Small business owner,phrase,Specific class-and-ideology self-positioning,Standard movement self-positioning,Common framing
MAGA,Veteran,phrase,Military-service identity claim — movement-aligned in this context,Specific identity often movement-coded,Specific identity
MAGA,Served my country,phrase,Military-service identity claim,Standard identity claim,Common framing
MAGA,Judeo-Christian values,phrase,Coded framing for politically conservative religious culture,Standard movement framing — crossover with CN,Common framing
MAGA,This is a Christian country,phrase,Crossover with Christian Nationalism,Crossover with CN overlay,Common framing
MAGA,One nation under God,phrase,Pledge-derived movement-aligned framing,Standard movement framing,Common framing
MAGA,God Bless America,phrase,Standard movement framing — can be neutral but in MAGA context coded,Mixed signal,Common framing
MAGA,Frankly...,vocabulary,Trump-popularized verbal pattern,Standard movement verbal pattern,Specific verbal tic
MAGA,Many people are saying,phrase,Trump-popularized rhetorical device,Direct rhetorical style,Specific verbal pattern
MAGA,A lot of people are saying,phrase,Same Trump rhetorical pattern,Direct rhetorical style,Specific verbal pattern
MAGA,Believe me,phrase,Trump-popularized verbal pattern,Direct rhetorical style,Specific verbal pattern
MAGA,Like nobody has ever seen before,phrase,Trump-popularized superlative pattern,Direct rhetorical style,Specific verbal pattern
MAGA,Sad!,phrase,Trump-popularized exclamation,Direct rhetorical style,Specific verbal pattern
MAGA,Beautiful,vocabulary,Trump-popularized adjective for things he approves of,Direct rhetorical style,Common verbal pattern
MAGA,America is in decline,phrase,Foundational movement framing of country,Standard movement framing,Major framing
MAGA,The country is going to hell,phrase,Direct decline framing,Standard movement framing,Common phrasing
MAGA,Things have gotten so bad,phrase,Standard decline framing,Standard movement framing,Common phrasing
MAGA,Look at what's happening to this country,phrase,Decline framing pointing to events,Standard movement framing,Common phrasing
MAGA,This wouldn't have happened under Trump,phrase,Specific counterfactual framing,Standard movement framing,Common phrasing
MAGA,Bring back the 1950s / things were better then,phrase,Specific decline framing pointing to past,Standard movement framing,Common phrasing
Bay Area Rationalist / EA,Do you read Astral Codex Ten?,question,Direct probe — Scott Alexander's blog is central rationalist reading,Direct cultural-membership probe,Major credential probe
Bay Area Rationalist / EA,Do you live in a group house?,question,Direct probe for community-residential participation,Direct living-arrangement probe,Specific lifestyle marker
Bay Area Rationalist / EA,Are you poly?,question,Direct probe for relationship structure — heavy crossover within community,Direct relationship-structure probe — high baseline rate in community,Major crossover probe
Bay Area Rationalist / EA,Bayesian / Bayesian updating,vocabulary,Foundational rationalist epistemic framework — updating beliefs proportionally to evidence,Foundational vocabulary; deployed as both legitimate framework and conversational weapon,Major in-group concept
Bay Area Rationalist / EA,Update / updating,vocabulary,Changing belief in response to evidence,Standard rationalist verbal pattern — 'I updated on that',Specific verbal tic
Bay Area Rationalist / EA,I'm updating,phrase,Direct statement that he's changing his view,Standard rationalist verbal pattern,Common phrasing
Bay Area Rationalist / EA,You should update on this,phrase,Pressure framing telling her she should change her view based on what he just said,Standard rationalist framing — sometimes legitimate sometimes pressure,Common pattern
Bay Area Rationalist / EA,Strong update,phrase,Substantial change of view based on evidence,Standard rationalist verbal pattern,Common phrasing
Bay Area Rationalist / EA,Weak update,phrase,Small change of view,Standard rationalist verbal pattern,Common phrasing
Bay Area Rationalist / EA,Steelman,vocabulary,Strongest version of opposing argument — opposite of strawman,Foundational rationalist concept; legitimate practice and weaponization risk,Major in-group concept
Bay Area Rationalist / EA,Let me steelman that,phrase,Standard rationalist move — restating her argument in strongest form,Standard practice; can be respectful or condescending depending on deployment,Mixed signal
Bay Area Rationalist / EA,Charitable interpretation,phrase,Standard rationalist injunction to assume best interpretation of opposing view,Standard rationalist practice,Standard concept
Bay Area Rationalist / EA,Priors / prior probability,vocabulary,Initial probability assignment in Bayesian reasoning,Foundational vocabulary deployed in casual conversation,Major in-group concept
Bay Area Rationalist / EA,My priors are...,phrase,Direct deployment of priors-framing in conversation,Standard rationalist verbal pattern,Common phrasing
Bay Area Rationalist / EA,High priors / low priors,phrase,Saying he expects something to be true/untrue,Standard rationalist verbal pattern,Common phrasing
Bay Area Rationalist / EA,Posterior / posterior probability,vocabulary,Updated probability after evidence in Bayesian framework,Standard vocabulary,Specific concept
Bay Area Rationalist / EA,Probability mass / probability distribution,vocabulary,Mathematical-framing of belief,Standard vocabulary deployed casually,Common usage
Bay Area Rationalist / EA,Calibrated / well-calibrated,vocabulary,Whether your probability estimates match outcomes — major rationalist virtue,Standard rationalist virtue framing,Major in-group concept
Bay Area Rationalist / EA,Epistemics / good epistemics,vocabulary,Belief-formation practices — central rationalist concern,Foundational rationalist concept,Major in-group concept
